Andromeda,Alpha Andromeda,α,21,NA,NA,358,677,2.07,−0.30,97,B9p
Andromeda,Beta Andromeda,β,43,NA,NA,6860,5447,2.07,−1.86,199,M0IIIvar
Andromeda,Gamma Andromeda,γ,57,NA,NA,12533,9640,2.10,−3.08,355,K3IIb
Andromeda,Delta Andromeda,δ,31,NA,NA,3627,3092,3.27,0.81,101,NA
Andromeda,Omicron Andromeda,ο,1,NA,NA,217675,113726,3.62,−3.01,692,B6pv SB
Andromeda,Lambda Andromeda,λ,16,NA,NA,222107,116584,3.81,1.75,84,NA
Andromeda,Mu Andromeda,μ,37,NA,NA,5448,4436,3.86,0.75,136,A5V
Andromeda,Zeta Andromeda,ζ,34,NA,NA,4502,3693,4.08,0.35,181,K1II
Andromeda,Kappa Andromeda,κ,19,NA,NA,222439,116805,4.15,0.57,170,B9IVn
Andromeda,Phi Andromeda,φ,42,NA,NA,6811,5434,4.26,−2.51,736,B7III
Andromeda,Iota Andromeda,ι,17,NA,NA,222173,116631,4.29,−1.65,502,B8V
Andromeda,Pi Andromeda,π,29,NA,NA,3369,2912,4.34,−2.18,656,B5V
Andromeda,Epsilon Andromeda,ε,30,NA,NA,3546,3031,4.34,0.77,169,NA
Andromeda,Eta Andromeda,η,38,NA,NA,5516,4463,4.40,0.04,243,NA
Andromeda,Sigma Andromeda,σ,25,NA,NA,1404,1473,4.51,1.33,141,A2V
Andromeda,Nu Andromeda,ν,35,NA,NA,4727,3881,4.53,−2.06,679,B5V SB
Andromeda,Theta Andromeda,θ,24,NA,NA,1280,1366,4.61,0.16,253,A2V
Andromeda,Omega Andromeda,ω,48,NA,NA,8799,6813,4.83,2.57,92,F5IV
Andromeda,Gamma Andromeda,γ,57,NA,NA,12534,NA,4.84,NA,NA,B8V
Andromeda,60 Andromeda,b,60,NA,NA,13520,10340,4.84,−1.32,556,K4III
Andromeda,Xi Andromeda,ξ,46,NA,NA,8207,6411,4.87,0.98,195,NA
Andromeda,Tau Andromeda,τ,53,NA,NA,10205,7818,4.96,−1.64,681,B8III
Andromeda,HD 1030,υ,NA,NA,NA,10307,7918,4.96,4.45,41,G2V
